Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,CHARLES,197,172
2020/08,CHARLES,205,174
2020/09,CHARLES,202,176
2020/10,CHARLES,211,180
2020/11,CHARLES,223,182
2020/12,CHARLES,228,185
2021/01,CHARLES,247,188
2021/02,CHARLES,256,191
2021/03,CHARLES,273,201
2021/04,CHARLES,285,209
2021/05,CHARLES,302,212
2021/06,CHARLES,320,220
2021/07,CHARLES,334,221
2021/08,CHARLES,360,227
2021/09,CHARLES,376,229
2021/10,CHARLES,395,230
2021/11,CHARLES,408,240
2021/12,CHARLES,417,239
2022/01,CHARLES,442,242
2022/02,CHARLES,461,245
2022/03,CHARLES,482,246
2022/04,CHARLES,515,252
2022/05,CHARLES,544,252
2022/06,CHARLES,593,253
2022/07,CHARLES,610,258
2022/08,CHARLES,622,271
2022/09,CHARLES,647,272
2022/10,CHARLES,671,274
2022/11,CHARLES,734,293
2022/12,CHARLES,760,298
2023/01,CHARLES,786,296
2023/02,CHARLES,809,308
2023/03,CHARLES,846,311
2023/04,CHARLES,876,317
2023/05,CHARLES,909,326
2023/06,CHARLES,958,330
2023/07,CHARLES,1008,335
2023/08,CHARLES,1047,350
2023/09,CHARLES,1103,365
2023/10,CHARLES,1137,376
2023/11,CHARLES,1182,377
2023/12,CHARLES,1220,390
2024/01,CHARLES,1260,395
2024/02,CHARLES,1301,396
2024/03,CHARLES,1347,410
2024/04,CHARLES,1398,414
