Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,WASHINGTON,136,163
2020/08,WASHINGTON,138,162
2020/09,WASHINGTON,138,164
2020/10,WASHINGTON,145,164
2020/11,WASHINGTON,147,166
2020/12,WASHINGTON,156,167
2021/01,WASHINGTON,158,172
2021/02,WASHINGTON,161,180
2021/03,WASHINGTON,165,189
2021/04,WASHINGTON,171,194
2021/05,WASHINGTON,179,206
2021/06,WASHINGTON,191,214
2021/07,WASHINGTON,199,222
2021/08,WASHINGTON,207,226
2021/09,WASHINGTON,215,226
2021/10,WASHINGTON,218,228
2021/11,WASHINGTON,225,232
2021/12,WASHINGTON,226,235
2022/01,WASHINGTON,233,238
2022/02,WASHINGTON,242,240
2022/03,WASHINGTON,245,245
2022/04,WASHINGTON,257,244
2022/05,WASHINGTON,263,243
2022/06,WASHINGTON,285,250
2022/07,WASHINGTON,284,251
2022/08,WASHINGTON,291,248
2022/09,WASHINGTON,299,255
2022/10,WASHINGTON,306,258
2022/11,WASHINGTON,328,257
2022/12,WASHINGTON,341,261
2023/01,WASHINGTON,354,262
2023/02,WASHINGTON,367,266
2023/03,WASHINGTON,382,272
2023/04,WASHINGTON,391,271
2023/05,WASHINGTON,398,269
2023/06,WASHINGTON,420,279
2023/07,WASHINGTON,441,280
2023/08,WASHINGTON,476,288
2023/09,WASHINGTON,496,294
2023/10,WASHINGTON,523,307
2023/11,WASHINGTON,528,320
2023/12,WASHINGTON,560,328
2024/01,WASHINGTON,572,338
2024/02,WASHINGTON,581,341
2024/03,WASHINGTON,602,346
2024/04,WASHINGTON,636,353
