Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,CARROLL,292,231
2020/08,CARROLL,300,235
2020/09,CARROLL,306,240
2020/10,CARROLL,326,243
2020/11,CARROLL,336,252
2020/12,CARROLL,359,255
2021/01,CARROLL,371,262
2021/02,CARROLL,378,268
2021/03,CARROLL,396,275
2021/04,CARROLL,415,281
2021/05,CARROLL,428,295
2021/06,CARROLL,448,314
2021/07,CARROLL,465,320
2021/08,CARROLL,473,339
2021/09,CARROLL,478,341
2021/10,CARROLL,498,356
2021/11,CARROLL,508,364
2021/12,CARROLL,520,368
2022/01,CARROLL,533,371
2022/02,CARROLL,554,378
2022/03,CARROLL,574,386
2022/04,CARROLL,593,402
2022/05,CARROLL,605,411
2022/06,CARROLL,653,419
2022/07,CARROLL,675,430
2022/08,CARROLL,708,440
2022/09,CARROLL,726,446
2022/10,CARROLL,746,456
2022/11,CARROLL,797,473
2022/12,CARROLL,815,479
2023/01,CARROLL,841,490
2023/02,CARROLL,874,498
2023/03,CARROLL,919,508
2023/04,CARROLL,956,510
2023/05,CARROLL,976,528
2023/06,CARROLL,1013,535
2023/07,CARROLL,1043,550
2023/08,CARROLL,1069,570
2023/09,CARROLL,1099,578
2023/10,CARROLL,1132,589
2023/11,CARROLL,1158,597
2023/12,CARROLL,1201,608
2024/01,CARROLL,1229,617
2024/02,CARROLL,1261,627
2024/03,CARROLL,1310,644
2024/04,CARROLL,1341,653
