Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,BALTIMORE,1508,1230
2020/08,BALTIMORE,1549,1242
2020/09,BALTIMORE,1587,1259
2020/10,BALTIMORE,1674,1276
2020/11,BALTIMORE,1715,1288
2020/12,BALTIMORE,1779,1313
2021/01,BALTIMORE,1822,1339
2021/02,BALTIMORE,1860,1352
2021/03,BALTIMORE,1915,1372
2021/04,BALTIMORE,1988,1393
2021/05,BALTIMORE,2041,1456
2021/06,BALTIMORE,2121,1523
2021/07,BALTIMORE,2201,1597
2021/08,BALTIMORE,2283,1639
2021/09,BALTIMORE,2347,1677
2021/10,BALTIMORE,2422,1709
2021/11,BALTIMORE,2482,1738
2021/12,BALTIMORE,2530,1760
2022/01,BALTIMORE,2603,1789
2022/02,BALTIMORE,2706,1819
2022/03,BALTIMORE,2811,1872
2022/04,BALTIMORE,2933,1897
2022/05,BALTIMORE,3003,1931
2022/06,BALTIMORE,3223,1992
2022/07,BALTIMORE,3272,2018
2022/08,BALTIMORE,3445,2050
2022/09,BALTIMORE,3558,2072
2022/10,BALTIMORE,3629,2084
2022/11,BALTIMORE,3844,2159
2022/12,BALTIMORE,3999,2215
2023/01,BALTIMORE,4109,2242
2023/02,BALTIMORE,4234,2288
2023/03,BALTIMORE,4423,2319
2023/04,BALTIMORE,4566,2369
2023/05,BALTIMORE,4752,2420
2023/06,BALTIMORE,4961,2473
2023/07,BALTIMORE,5137,2523
2023/08,BALTIMORE,5307,2595
2023/09,BALTIMORE,5530,2660
2023/10,BALTIMORE,5713,2728
2023/11,BALTIMORE,5888,2796
2023/12,BALTIMORE,6102,2831
2024/01,BALTIMORE,6312,2883
2024/02,BALTIMORE,6495,2913
2024/03,BALTIMORE,6718,2992
2024/04,BALTIMORE,6986,3058
