Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,ALLEGANY,29,32
2020/08,ALLEGANY,32,34
2020/09,ALLEGANY,35,37
2020/10,ALLEGANY,36,39
2020/11,ALLEGANY,37,39
2020/12,ALLEGANY,37,40
2021/01,ALLEGANY,39,39
2021/02,ALLEGANY,39,38
2021/03,ALLEGANY,39,38
2021/04,ALLEGANY,38,39
2021/05,ALLEGANY,39,39
2021/06,ALLEGANY,41,42
2021/07,ALLEGANY,43,40
2021/08,ALLEGANY,44,39
2021/09,ALLEGANY,47,42
2021/10,ALLEGANY,46,42
2021/11,ALLEGANY,46,45
2021/12,ALLEGANY,46,47
2022/01,ALLEGANY,48,46
2022/02,ALLEGANY,51,47
2022/03,ALLEGANY,53,47
2022/04,ALLEGANY,57,49
2022/05,ALLEGANY,60,53
2022/06,ALLEGANY,70,56
2022/07,ALLEGANY,71,58
2022/08,ALLEGANY,73,60
2022/09,ALLEGANY,78,61
2022/10,ALLEGANY,91,83
2022/11,ALLEGANY,85,86
2022/12,ALLEGANY,98,92
2023/01,ALLEGANY,106,98
2023/02,ALLEGANY,108,98
2023/03,ALLEGANY,110,104
2023/04,ALLEGANY,120,108
2023/05,ALLEGANY,125,112
2023/06,ALLEGANY,156,117
2023/07,ALLEGANY,159,118
2023/08,ALLEGANY,156,124
2023/09,ALLEGANY,176,132
2023/10,ALLEGANY,182,142
2023/11,ALLEGANY,184,141
2023/12,ALLEGANY,198,140
2024/01,ALLEGANY,206,142
2024/02,ALLEGANY,208,145
2024/03,ALLEGANY,211,148
2024/04,ALLEGANY,219,152
2020/07,ANNE ARUNDEL,1587,1124
2020/08,ANNE ARUNDEL,1625,1138
2020/09,ANNE ARUNDEL,1658,1152
2020/10,ANNE ARUNDEL,1729,1161
2020/11,ANNE ARUNDEL,1783,1194
2020/12,ANNE ARUNDEL,1823,1215
2021/01,ANNE ARUNDEL,1880,1231
2021/02,ANNE ARUNDEL,1912,1250
2021/03,ANNE ARUNDEL,1995,1280
2021/04,ANNE ARUNDEL,2078,1309
2021/05,ANNE ARUNDEL,2141,1363
2021/06,ANNE ARUNDEL,2334,1409
2021/07,ANNE ARUNDEL,2395,1458
2021/08,ANNE ARUNDEL,2707,1541
2021/09,ANNE ARUNDEL,2767,1590
2021/10,ANNE ARUNDEL,2838,1711
2021/11,ANNE ARUNDEL,2949,1766
2021/12,ANNE ARUNDEL,3037,1797
2022/01,ANNE ARUNDEL,3125,1816
2022/02,ANNE ARUNDEL,2977,1842
2022/03,ANNE ARUNDEL,3135,1923
2022/04,ANNE ARUNDEL,3582,1979
2022/05,ANNE ARUNDEL,3677,2053
2022/06,ANNE ARUNDEL,3862,2109
2022/07,ANNE ARUNDEL,3923,2145
2022/08,ANNE ARUNDEL,4051,2187
2022/09,ANNE ARUNDEL,4178,2203
2022/10,ANNE ARUNDEL,4337,2249
2022/11,ANNE ARUNDEL,4577,2334
2022/12,ANNE ARUNDEL,4854,2366
2023/01,ANNE ARUNDEL,5206,2399
2023/02,ANNE ARUNDEL,5404,2455
2023/03,ANNE ARUNDEL,5610,2575
