Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,HARFORD,321,281
2020/08,HARFORD,329,293
2020/09,HARFORD,341,298
2020/10,HARFORD,360,302
2020/11,HARFORD,369,308
2020/12,HARFORD,378,313
2021/01,HARFORD,389,313
2021/02,HARFORD,392,314
2021/03,HARFORD,419,327
2021/04,HARFORD,433,349
2021/05,HARFORD,440,364
2021/06,HARFORD,469,388
2021/07,HARFORD,494,393
2021/08,HARFORD,512,408
2021/09,HARFORD,528,422
2021/10,HARFORD,546,436
2021/11,HARFORD,567,444
2021/12,HARFORD,578,449
2022/01,HARFORD,592,467
2022/02,HARFORD,606,472
2022/03,HARFORD,631,490
2022/04,HARFORD,669,508
2022/05,HARFORD,702,515
2022/06,HARFORD,763,531
2022/07,HARFORD,794,541
2022/08,HARFORD,808,560
2022/09,HARFORD,848,562
2022/10,HARFORD,877,565
2022/11,HARFORD,937,581
2022/12,HARFORD,979,587
2023/01,HARFORD,1003,595
2023/02,HARFORD,1049,602
2023/03,HARFORD,1112,628
2023/04,HARFORD,1158,646
2023/05,HARFORD,1170,657
2023/06,HARFORD,1217,664
2023/07,HARFORD,1255,681
2023/08,HARFORD,1296,711
2023/09,HARFORD,1345,744
2023/10,HARFORD,1395,765
2023/11,HARFORD,1444,781
2023/12,HARFORD,1511,785
2024/01,HARFORD,1540,803
2024/02,HARFORD,1592,811
2024/03,HARFORD,1657,839
2024/04,HARFORD,1710,865
