Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,FREDERICK,710,700
2020/08,FREDERICK,734,704
2020/09,FREDERICK,755,703
2020/10,FREDERICK,785,710
2020/11,FREDERICK,811,733
2020/12,FREDERICK,840,738
2021/01,FREDERICK,864,751
2021/02,FREDERICK,879,757
2021/03,FREDERICK,912,765
2021/04,FREDERICK,950,779
2021/05,FREDERICK,975,801
2021/06,FREDERICK,1038,831
2021/07,FREDERICK,1068,849
2021/08,FREDERICK,1088,865
2021/09,FREDERICK,1129,887
2021/10,FREDERICK,1166,906
2021/11,FREDERICK,1198,927
2021/12,FREDERICK,1233,946
2022/01,FREDERICK,1285,956
2022/02,FREDERICK,1336,983
2022/03,FREDERICK,1400,1016
2022/04,FREDERICK,1472,1025
2022/05,FREDERICK,1540,1048
2022/06,FREDERICK,1676,1084
2022/07,FREDERICK,1724,1100
2022/08,FREDERICK,1786,1121
2022/09,FREDERICK,1852,1131
2022/10,FREDERICK,1909,1161
2022/11,FREDERICK,2022,1203
2022/12,FREDERICK,2095,1224
2023/01,FREDERICK,2180,1264
2023/02,FREDERICK,2287,1284
2023/03,FREDERICK,2404,1308
2023/04,FREDERICK,2477,1349
2023/05,FREDERICK,2555,1367
2023/06,FREDERICK,2679,1397
2023/07,FREDERICK,2811,1410
2023/08,FREDERICK,2933,1450
2023/09,FREDERICK,3101,1473
2023/10,FREDERICK,3211,1499
2023/11,FREDERICK,3304,1515
2023/12,FREDERICK,3464,1542
2024/01,FREDERICK,3532,1562
2024/02,FREDERICK,3629,1579
2024/03,FREDERICK,3769,1602
2024/04,FREDERICK,3889,1624
