Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,BALTIMORE CITY,770,585
2020/08,BALTIMORE CITY,779,605
2020/09,BALTIMORE CITY,804,624
2020/10,BALTIMORE CITY,833,638
2020/11,BALTIMORE CITY,823,647
2020/12,BALTIMORE CITY,855,675
2021/01,BALTIMORE CITY,871,704
2021/02,BALTIMORE CITY,888,714
2021/03,BALTIMORE CITY,907,729
2021/04,BALTIMORE CITY,945,756
2021/05,BALTIMORE CITY,979,789
2021/06,BALTIMORE CITY,1034,824
2021/07,BALTIMORE CITY,1076,854
2021/08,BALTIMORE CITY,1097,894
2021/09,BALTIMORE CITY,1126,920
2021/10,BALTIMORE CITY,1164,938
2021/11,BALTIMORE CITY,1192,954
2021/12,BALTIMORE CITY,1231,963
2022/01,BALTIMORE CITY,1265,970
2022/02,BALTIMORE CITY,1541,1000
2022/03,BALTIMORE CITY,1599,1011
2022/04,BALTIMORE CITY,1662,1018
2022/05,BALTIMORE CITY,1687,1040
2022/06,BALTIMORE CITY,1763,1066
2022/07,BALTIMORE CITY,1792,1086
2022/08,BALTIMORE CITY,1842,1095
2022/09,BALTIMORE CITY,1912,1105
2022/10,BALTIMORE CITY,1956,1114
2022/11,BALTIMORE CITY,2042,1129
2022/12,BALTIMORE CITY,2110,1151
2023/01,BALTIMORE CITY,2158,1151
2023/02,BALTIMORE CITY,2209,1171
2023/03,BALTIMORE CITY,2262,1197
2023/04,BALTIMORE CITY,2131,1222
2023/05,BALTIMORE CITY,2209,1247
2023/06,BALTIMORE CITY,2297,1259
2023/07,BALTIMORE CITY,2354,1266
2023/08,BALTIMORE CITY,2431,1296
2023/09,BALTIMORE CITY,2533,1336
2023/10,BALTIMORE CITY,2601,1377
2023/11,BALTIMORE CITY,2684,1388
2023/12,BALTIMORE CITY,2811,1403
2024/01,BALTIMORE CITY,2874,1426
2024/02,BALTIMORE CITY,2929,1456
2024/03,BALTIMORE CITY,3031,1465
2024/04,BALTIMORE CITY,3127,1499
