Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,SOMERSET,2,7
2020/08,SOMERSET,2,8
2020/09,SOMERSET,3,8
2020/10,SOMERSET,3,8
2020/11,SOMERSET,3,8
2020/12,SOMERSET,3,8
2021/01,SOMERSET,3,9
2021/02,SOMERSET,3,10
2021/03,SOMERSET,3,10
2021/04,SOMERSET,4,10
2021/05,SOMERSET,4,9
2021/06,SOMERSET,5,11
2021/07,SOMERSET,5,10
2021/08,SOMERSET,5,12
2021/09,SOMERSET,5,12
2021/10,SOMERSET,5,12
2021/11,SOMERSET,4,12
2021/12,SOMERSET,5,12
2022/01,SOMERSET,5,11
2022/02,SOMERSET,5,16
2022/03,SOMERSET,6,18
2022/04,SOMERSET,6,20
2022/05,SOMERSET,6,20
2022/06,SOMERSET,6,20
2022/07,SOMERSET,6,20
2022/08,SOMERSET,7,20
2022/09,SOMERSET,7,20
2022/10,SOMERSET,7,19
2022/11,SOMERSET,8,19
2022/12,SOMERSET,9,19
2023/01,SOMERSET,11,19
2023/02,SOMERSET,11,19
2023/03,SOMERSET,13,19
2023/04,SOMERSET,14,19
2023/05,SOMERSET,15,19
2023/06,SOMERSET,16,20
2023/07,SOMERSET,17,20
2023/08,SOMERSET,20,20
2023/09,SOMERSET,22,20
2023/10,SOMERSET,23,21
2023/11,SOMERSET,23,20
2023/12,SOMERSET,25,20
2024/01,SOMERSET,25,20
2024/02,SOMERSET,26,20
2024/03,SOMERSET,33,20
2024/04,SOMERSET,36,21
