Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,WICOMICO,50,82
2020/08,WICOMICO,52,89
2020/09,WICOMICO,55,91
2020/10,WICOMICO,59,92
2020/11,WICOMICO,59,93
2020/12,WICOMICO,59,94
2021/01,WICOMICO,59,98
2021/02,WICOMICO,61,101
2021/03,WICOMICO,65,105
2021/04,WICOMICO,65,107
2021/05,WICOMICO,67,111
2021/06,WICOMICO,74,117
2021/07,WICOMICO,76,119
2021/08,WICOMICO,74,122
2021/09,WICOMICO,76,129
2021/10,WICOMICO,78,130
2021/11,WICOMICO,85,132
2021/12,WICOMICO,88,134
2022/01,WICOMICO,90,133
2022/02,WICOMICO,93,142
2022/03,WICOMICO,98,148
2022/04,WICOMICO,103,152
2022/05,WICOMICO,106,148
2022/06,WICOMICO,120,153
2022/07,WICOMICO,123,151
2022/08,WICOMICO,128,154
2022/09,WICOMICO,138,153
2022/10,WICOMICO,138,157
2022/11,WICOMICO,153,164
2022/12,WICOMICO,157,169
2023/01,WICOMICO,163,168
2023/02,WICOMICO,170,167
2023/03,WICOMICO,178,169
2023/04,WICOMICO,185,173
2023/05,WICOMICO,194,173
2023/06,WICOMICO,209,180
2023/07,WICOMICO,216,185
2023/08,WICOMICO,225,185
2023/09,WICOMICO,232,190
2023/10,WICOMICO,244,193
2023/11,WICOMICO,243,193
2023/12,WICOMICO,248,191
2024/01,WICOMICO,261,192
2024/02,WICOMICO,280,196
2024/03,WICOMICO,291,200
2024/04,WICOMICO,310,204
