Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,PRINCE GEORGES,1208,938
2020/08,PRINCE GEORGES,1235,951
2020/09,PRINCE GEORGES,1264,955
2020/10,PRINCE GEORGES,1323,981
2020/11,PRINCE GEORGES,1359,1006
2020/12,PRINCE GEORGES,1399,1031
2021/01,PRINCE GEORGES,1451,1039
2021/02,PRINCE GEORGES,1488,1057
2021/03,PRINCE GEORGES,1547,1074
2021/04,PRINCE GEORGES,1608,1114
2021/05,PRINCE GEORGES,1680,1145
2021/06,PRINCE GEORGES,1754,1200
2021/07,PRINCE GEORGES,1851,1249
2021/08,PRINCE GEORGES,1912,1289
2021/09,PRINCE GEORGES,1983,1327
2021/10,PRINCE GEORGES,2061,1371
2021/11,PRINCE GEORGES,2112,1395
2021/12,PRINCE GEORGES,2166,1411
2022/01,PRINCE GEORGES,2256,1430
2022/02,PRINCE GEORGES,2350,1467
2022/03,PRINCE GEORGES,2479,1491
2022/04,PRINCE GEORGES,2603,1528
2022/05,PRINCE GEORGES,2702,1552
2022/06,PRINCE GEORGES,2886,1596
2022/07,PRINCE GEORGES,2955,1609
2022/08,PRINCE GEORGES,3073,1631
2022/09,PRINCE GEORGES,3206,1655
2022/10,PRINCE GEORGES,3352,1677
2022/11,PRINCE GEORGES,3641,1728
2022/12,PRINCE GEORGES,3769,1762
2023/01,PRINCE GEORGES,3895,1791
2023/02,PRINCE GEORGES,4019,1842
2023/03,PRINCE GEORGES,4202,1886
2023/04,PRINCE GEORGES,4379,1924
2023/05,PRINCE GEORGES,4558,1962
2023/06,PRINCE GEORGES,4772,2007
2023/07,PRINCE GEORGES,5002,2036
2023/08,PRINCE GEORGES,5227,2105
2023/09,PRINCE GEORGES,5466,2146
2023/10,PRINCE GEORGES,5698,2189
2023/11,PRINCE GEORGES,5925,2233
2023/12,PRINCE GEORGES,6209,2276
2024/01,PRINCE GEORGES,6386,2313
2024/02,PRINCE GEORGES,6546,2334
2024/03,PRINCE GEORGES,6832,2356
2024/04,PRINCE GEORGES,7121,2396
