city,population,violent_crime
Danville,41686,335
Portsmouth,95813,758
Marion,5956,46
Petersburg,32293,239
Norfolk,245734,1616
Honaker,1382,9
Emporia,5382,34
Tappahannock,2387,15
Charlottesville,46979,245
Radford,17504,83
Newport News,181676,848
South Boston,7944,37
Hopewell,22204,103
Appalachia,1655,7
Roanoke,99978,413
Chesapeake,236570,969
Norton,3911,16
Onancock,1260,5
Lynchburg,80215,298
Pulaski,8855,32
Fredericksburg,28823,104
Victoria,1668,6
Crewe,2225,8
Exmore,1443,5
Chincoteague,2909,10
Hampton,135504,442
Colonial Heights,17814,58
Ashland,7559,24
Galax,6858,21
Windsor,2681,8
Rocky Mount,4803,14
Manassas,42267,123
Front Royal,15193,44
South Hill,4503,13
Franklin,8423,24
Suffolk,88342,246
Tazewell,4378,12
Coeburn,1982,5
Kenbridge,1220,3
Waverly,2057,5
Culpeper,17733,43
Clifton Forge,3713,9
Farmville,8159,19
Bluefield,5247,12
Wise,3093,7
Winchester,27363,61
Harrisonburg,52972,117
Bristol,16908,37
Vinton,8266,18
Lebanon,3323,7
Martinsville,13553,28
Leesburg,53016,109
Herndon,24806,51
Orange,4992,10
Wytheville,8097,16
Colonial Beach,3589,7
Falls Church,14124,27
Waynesboro,21464,40
Alexandria,155319,286
Dublin,2719,5
Elkton,2826,5
Chase City,2285,4
Woodstock,5277,9
Staunton,24399,41
Bedford,6556,11
Poquoson,11975,20
Clarksville,1199,2
Williamsburg,15256,25
Christiansburg,22134,35
Virginia Beach,453017,700
Stephens City,1962,3
Clintwood,1309,2
Strasburg,6622,10
Manassas Park,15912,24
Richlands,5443,8
Mount Jackson,2051,3
Blackstone,3467,5
Covington,5570,8
Kilmarnock,1428,2
Lexington,7264,10
Abingdon,8105,11
Warrenton,9953,12
Altavista,3478,4
Pearisburg,2655,3
Pennington Gap,1793,2
Lawrenceville,1019,1
Blacksburg,44528,43
Fairfax City,24173,23
Salem,25396,24
Big Stone Gap,5378,5
Berryville,4323,4
West Point,3336,3
Brookneal,1120,1
Smithfield,8418,7
Luray,4817,4
Gretna,1243,1
Halifax,1243,1
Weber City,1251,1
Hurt,1269,1
Timberville,2618,2
Hillsville,2666,2
Grottoes,2776,2
Warsaw,1492,1
Gordonsville,1595,1
Louisa,1633,1
Stanley,1649,1
Narrows,1940,1
Buena Vista,6576,3
Amherst,2206,1
New Market,2220,1
Shenandoah,2334,1
Vienna,16679,7
Purcellville,9547,3
Broadway,3831,1
Bridgewater,5939,1
Dumfries,5263,0
Saltville,2022,0
Haymarket,2019,0
Gate City,1937,0
Chilhowie,1733,0
Dayton,1598,0
Chatham,1482,0
Middletown,1324,0
Bowling Green,1169,0
Glasgow,1116,0
Pembroke,1073,0
Occoquan,1042,0
Cape Charles,1019,0
