area,dt_stamp,max_outages,percent_out
Allegany,2024-04-11,0,0
Allegany,2024-04-12,274,0.11347115384615385
Allegany,2024-04-13,63,0.05831958762886598
Allegany,2024-04-14,756,0.28879166666666667
Allegany,2024-04-15,7,0.00202020202020202
Allegany,2024-04-16,6,9.797979797979799e-4
Allegany,2024-04-17,5,0.00124
Allegany,2024-04-18,53,0.013125
Allegany,2024-04-19,1,2.7835051546391755e-4
Allegany,2024-04-20,454,0.17542
Allegany,2024-04-21,1,6.000000000000001e-4
Allegany,2024-04-22,1,2.0388349514563107e-4
Allegany,2024-04-23,10,5.510204081632653e-4
Allegany,2024-04-24,134,0.04809278350515464
Allegany,2024-04-25,1,5.9405940594059404e-5
Allegany,2024-04-26,24,0.0037244897959183673
Allegany,2024-04-27,5,9.175257731958762e-4
Allegany,2024-04-28,1,6.185567010309279e-5
Allegany,2024-04-29,25,0.008183673469387755
Allegany,2024-04-30,7,0.0012952380952380952
Allegany,2024-05-01,36,0.008
Allegany,2024-05-02,296,0.029871287128712874
Anne Arundel,2024-04-11,6,0.002
Anne Arundel,2024-04-12,2290,0.14421153846153847
Anne Arundel,2024-04-13,338,0.044
Anne Arundel,2024-04-14,288,0.0284375
Anne Arundel,2024-04-15,70,0.006747474747474748
Anne Arundel,2024-04-16,923,0.028484848484848484
Anne Arundel,2024-04-17,21,0.00351
Anne Arundel,2024-04-18,50,0.0045096153846153845
Anne Arundel,2024-04-19,224,0.0051443298969072165
Anne Arundel,2024-04-20,22,0.00354
Anne Arundel,2024-04-21,6,4.8e-4
Anne Arundel,2024-04-22,25,0.002592233009708738
Anne Arundel,2024-04-23,36,0.00536734693877551
Anne Arundel,2024-04-24,22,0.0012164948453608248
Anne Arundel,2024-04-25,61,0.003297029702970297
Anne Arundel,2024-04-26,426,0.01366326530612245
Anne Arundel,2024-04-27,392,0.022731958762886598
Anne Arundel,2024-04-28,145,0.011309278350515465
Anne Arundel,2024-04-29,187,0.012673469387755102
Anne Arundel,2024-04-30,69,0.005028571428571428
Anne Arundel,2024-05-01,831,0.026533980582524274
Anne Arundel,2024-05-02,104,0.014623762376237625
Baltimore,2024-04-11,23,0.002
Baltimore,2024-04-12,1352,0.05566346153846154
Baltimore,2024-04-13,1801,0.09651546391752577
Baltimore,2024-04-14,318,0.024197916666666666
Baltimore,2024-04-15,847,0.03005050505050505
Baltimore,2024-04-16,426,0.012353535353535354
Baltimore,2024-04-17,192,0.00644
Baltimore,2024-04-18,23,0.002923076923076923
Baltimore,2024-04-19,176,0.006288659793814433
Baltimore,2024-04-20,151,0.008790000000000001
Baltimore,2024-04-21,36,0.0022
Baltimore,2024-04-22,2170,0.025728155339805825
Baltimore,2024-04-23,115,0.0022959183673469385
Baltimore,2024-04-24,180,0.004845360824742268
Baltimore,2024-04-25,38,0.002277227722772277
Baltimore,2024-04-26,36,0.0017755102040816328
Baltimore,2024-04-27,290,0.02184536082474227
Baltimore,2024-04-28,290,0.018505154639175257
Baltimore,2024-04-29,223,0.008489795918367347
Baltimore,2024-04-30,73,0.0027047619047619047
Baltimore,2024-05-01,2441,0.03733009708737864
Baltimore,2024-05-02,329,0.023148514851485148
Baltimore City,2024-04-11,57,0.014909090909090908
Baltimore City,2024-04-12,2850,0.13540384615384615
Baltimore City,2024-04-13,397,0.055835051546391755
Baltimore City,2024-04-14,115,0.012322916666666666
Baltimore City,2024-04-15,40,0.0028888888888888888
Baltimore City,2024-04-16,53,0.004545454545454545
Baltimore City,2024-04-17,580,0.033370000000000004
Baltimore City,2024-04-18,904,0.06294230769230769
Baltimore City,2024-04-19,84,0.006298969072164948
Baltimore City,2024-04-20,580,0.01519
Baltimore City,2024-04-21,88,0.00241
Baltimore City,2024-04-22,112,0.002330097087378641
Baltimore City,2024-04-23,352,0.012704081632653061
Baltimore City,2024-04-24,16,0.0022268041237113404
Baltimore City,2024-04-25,141,0.006653465346534653
Baltimore City,2024-04-26,652,0.01603061224489796
Baltimore City,2024-04-27,5,0.001288659793814433
Baltimore City,2024-04-28,783,0.02575257731958763
Baltimore City,2024-04-29,10,0.0012551020408163266
Baltimore City,2024-04-30,9,0.0015142857142857143
Baltimore City,2024-05-01,355,0.044019417475728156
Baltimore City,2024-05-02,49,0.006405940594059406
Calvert,2024-04-11,0,0
Calvert,2024-04-12,95,0.03556730769230769
Calvert,2024-04-13,5,0.01020618556701031
Calvert,2024-04-14,103,0.028270833333333332
Calvert,2024-04-15,52,0.01096969696969697
Calvert,2024-04-16,10,0.0036969696969696973
Calvert,2024-04-17,152,0.026449999999999998
Calvert,2024-04-18,23,0.005567307692307693
Calvert,2024-04-19,3,9.381443298969072e-4
Calvert,2024-04-20,5,9e-4
Calvert,2024-04-21,1,8e-5
Calvert,2024-04-22,10,0.0016990291262135922
Calvert,2024-04-23,3,3.673469387755102e-4
Calvert,2024-04-24,3,6.907216494845361e-4
Calvert,2024-04-25,2,1.485148514851485e-4
Calvert,2024-04-26,20,0.004316326530612245
Calvert,2024-04-27,303,0.04779381443298969
Calvert,2024-04-28,6,0.0033195876288659794
Calvert,2024-04-29,5,0.0012040816326530613
Calvert,2024-04-30,3,4e-4
Calvert,2024-05-01,19,0.007679611650485437
Calvert,2024-05-02,963,0.2193168316831683
Caroline,2024-04-11,0,0
Caroline,2024-04-12,5,0.004586538461538461
Caroline,2024-04-13,13,0.0016494845360824743
Caroline,2024-04-14,25,0.021583333333333333
Caroline,2024-04-15,3,0.002606060606060606
Caroline,2024-04-16,0,0
Caroline,2024-04-17,1,1.8e-4
Caroline,2024-04-18,164,0.035951923076923076
Caroline,2024-04-19,5,0.0030103092783505155
Caroline,2024-04-20,4,0.0027600000000000003
Caroline,2024-04-21,1,6e-5
Caroline,2024-04-22,5,0.0024854368932038834
Caroline,2024-04-23,6,0.0013673469387755102
Caroline,2024-04-24,55,0.013144329896907217
Caroline,2024-04-25,1,5.94059405940594e-4
Caroline,2024-04-26,1,6.122448979591836e-5
Caroline,2024-04-27,0,0
Caroline,2024-04-28,1,6.804123711340207e-4
Caroline,2024-04-29,9,0.0022653061224489797
Caroline,2024-04-30,7,0.0020952380952380953
