Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,GARRETT,15,5
2020/08,GARRETT,15,5
2020/09,GARRETT,17,6
2020/10,GARRETT,17,6
2020/11,GARRETT,16,6
2020/12,GARRETT,15,6
2021/01,GARRETT,15,6
2021/02,GARRETT,18,7
2021/03,GARRETT,18,8
2021/04,GARRETT,19,11
2021/05,GARRETT,18,10
2021/06,GARRETT,19,10
2021/07,GARRETT,22,12
2021/08,GARRETT,22,12
2021/09,GARRETT,22,12
2021/10,GARRETT,22,11
2021/11,GARRETT,23,14
2021/12,GARRETT,26,16
2022/01,GARRETT,26,16
2022/02,GARRETT,23,16
2022/03,GARRETT,24,15
2022/04,GARRETT,25,15
2022/05,GARRETT,26,16
2022/06,GARRETT,26,16
2022/07,GARRETT,26,17
2022/08,GARRETT,27,17
2022/09,GARRETT,30,18
2022/10,GARRETT,32,19
2022/11,GARRETT,34,21
2022/12,GARRETT,34,21
2023/01,GARRETT,39,21
2023/02,GARRETT,38,20
2023/03,GARRETT,38,22
2023/04,GARRETT,44,25
2023/05,GARRETT,46,27
2023/06,GARRETT,47,29
2023/07,GARRETT,46,30
2023/08,GARRETT,47,31
2023/09,GARRETT,49,33
2023/10,GARRETT,50,35
2023/11,GARRETT,50,35
2023/12,GARRETT,51,36
2024/01,GARRETT,50,40
2024/02,GARRETT,50,42
2024/03,GARRETT,51,48
2024/04,GARRETT,52,49
