Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,KENT,15,31
2020/08,KENT,15,31
2020/09,KENT,13,35
2020/10,KENT,13,36
2020/11,KENT,14,35
2020/12,KENT,16,39
2021/01,KENT,18,40
2021/02,KENT,19,40
2021/03,KENT,21,39
2021/04,KENT,22,40
2021/05,KENT,23,42
2021/06,KENT,26,42
2021/07,KENT,27,44
2021/08,KENT,27,45
2021/09,KENT,28,44
2021/10,KENT,31,45
2021/11,KENT,32,44
2021/12,KENT,33,45
2022/01,KENT,35,46
2022/02,KENT,38,45
2022/03,KENT,39,44
2022/04,KENT,38,44
2022/05,KENT,38,49
2022/06,KENT,40,47
2022/07,KENT,42,47
2022/08,KENT,42,48
2022/09,KENT,44,46
2022/10,KENT,45,47
2022/11,KENT,46,51
2022/12,KENT,47,52
2023/01,KENT,48,51
2023/02,KENT,50,52
2023/03,KENT,51,52
2023/04,KENT,53,51
2023/05,KENT,55,50
2023/06,KENT,55,53
2023/07,KENT,56,52
2023/08,KENT,57,53
2023/09,KENT,60,54
2023/10,KENT,67,58
2023/11,KENT,70,61
2023/12,KENT,75,60
2024/01,KENT,79,59
2024/02,KENT,80,58
2024/03,KENT,103,64
2024/04,KENT,103,67
