Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,CAROLINE,8,19
2020/08,CAROLINE,7,19
2020/09,CAROLINE,7,19
2020/10,CAROLINE,7,22
2020/11,CAROLINE,7,22
2020/12,CAROLINE,7,24
2021/01,CAROLINE,11,25
2021/02,CAROLINE,12,26
2021/03,CAROLINE,12,27
2021/04,CAROLINE,13,26
2021/05,CAROLINE,14,28
2021/06,CAROLINE,15,32
2021/07,CAROLINE,18,34
2021/08,CAROLINE,19,34
2021/09,CAROLINE,19,35
2021/10,CAROLINE,23,38
2021/11,CAROLINE,25,40
2021/12,CAROLINE,25,39
2022/01,CAROLINE,31,39
2022/02,CAROLINE,42,51
2022/03,CAROLINE,48,52
2022/04,CAROLINE,48,48
2022/05,CAROLINE,50,51
2022/06,CAROLINE,56,54
2022/07,CAROLINE,58,55
2022/08,CAROLINE,59,54
2022/09,CAROLINE,64,55
2022/10,CAROLINE,70,55
2022/11,CAROLINE,70,56
2022/12,CAROLINE,70,58
2023/01,CAROLINE,75,59
2023/02,CAROLINE,76,62
2023/03,CAROLINE,80,62
2023/04,CAROLINE,86,64
2023/05,CAROLINE,87,64
2023/06,CAROLINE,95,65
2023/07,CAROLINE,94,66
2023/08,CAROLINE,94,63
2023/09,CAROLINE,107,64
2023/10,CAROLINE,111,68
2023/11,CAROLINE,118,70
2023/12,CAROLINE,128,73
2024/01,CAROLINE,129,73
2024/02,CAROLINE,131,75
2024/03,CAROLINE,136,73
2024/04,CAROLINE,137,72
