Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,QUEEN ANNES,84,82
2020/08,QUEEN ANNES,86,85
2020/09,QUEEN ANNES,87,87
2020/10,QUEEN ANNES,91,91
2020/11,QUEEN ANNES,94,91
2020/12,QUEEN ANNES,96,90
2021/01,QUEEN ANNES,97,89
2021/02,QUEEN ANNES,100,90
2021/03,QUEEN ANNES,105,92
2021/04,QUEEN ANNES,114,97
2021/05,QUEEN ANNES,118,102
2021/06,QUEEN ANNES,120,105
2021/07,QUEEN ANNES,128,112
2021/08,QUEEN ANNES,133,118
2021/09,QUEEN ANNES,134,121
2021/10,QUEEN ANNES,133,124
2021/11,QUEEN ANNES,141,126
2021/12,QUEEN ANNES,145,126
2022/01,QUEEN ANNES,148,123
2022/02,QUEEN ANNES,155,126
2022/03,QUEEN ANNES,160,136
2022/04,QUEEN ANNES,167,141
2022/05,QUEEN ANNES,178,147
2022/06,QUEEN ANNES,189,146
2022/07,QUEEN ANNES,194,150
2022/08,QUEEN ANNES,208,155
2022/09,QUEEN ANNES,208,156
2022/10,QUEEN ANNES,217,152
2022/11,QUEEN ANNES,230,152
2022/12,QUEEN ANNES,242,157
2023/01,QUEEN ANNES,248,156
2023/02,QUEEN ANNES,256,156
2023/03,QUEEN ANNES,272,157
2023/04,QUEEN ANNES,280,163
2023/05,QUEEN ANNES,288,168
2023/06,QUEEN ANNES,298,170
2023/07,QUEEN ANNES,308,169
2023/08,QUEEN ANNES,312,180
2023/09,QUEEN ANNES,314,182
2023/10,QUEEN ANNES,325,187
2023/11,QUEEN ANNES,331,191
2023/12,QUEEN ANNES,341,194
2024/01,QUEEN ANNES,354,202
2024/02,QUEEN ANNES,363,205
2024/03,QUEEN ANNES,373,208
2024/04,QUEEN ANNES,379,209
