Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,HOWARD,1934,1150
2020/08,HOWARD,1979,1155
2020/09,HOWARD,2014,1158
2020/10,HOWARD,2085,1177
2020/11,HOWARD,2132,1189
2020/12,HOWARD,2188,1212
2021/01,HOWARD,2237,1229
2021/02,HOWARD,2258,1231
2021/03,HOWARD,2309,1258
2021/04,HOWARD,2402,1295
2021/05,HOWARD,2448,1336
2021/06,HOWARD,2589,1387
2021/07,HOWARD,2658,1441
2021/08,HOWARD,2739,1489
2021/09,HOWARD,2796,1535
2021/10,HOWARD,2887,1579
2021/11,HOWARD,2973,1591
2021/12,HOWARD,3056,1650
2022/01,HOWARD,3165,1678
2022/02,HOWARD,3278,1712
2022/03,HOWARD,3425,1741
2022/04,HOWARD,3577,1761
2022/05,HOWARD,3698,1794
2022/06,HOWARD,3941,1847
2022/07,HOWARD,3983,1871
2022/08,HOWARD,4133,1907
2022/09,HOWARD,4317,1933
2022/10,HOWARD,4440,1982
2022/11,HOWARD,4693,2030
2022/12,HOWARD,4969,2067
2023/01,HOWARD,5125,2083
2023/02,HOWARD,5382,2107
2023/03,HOWARD,5665,2134
2023/04,HOWARD,5864,2162
2023/05,HOWARD,6096,2198
2023/06,HOWARD,6406,2222
2023/07,HOWARD,6610,2268
2023/08,HOWARD,6845,2338
2023/09,HOWARD,7147,2362
2023/10,HOWARD,7392,2405
2023/11,HOWARD,7553,2439
2023/12,HOWARD,7865,2481
2024/01,HOWARD,8001,2507
2024/02,HOWARD,8177,2531
2024/03,HOWARD,8426,2577
2024/04,HOWARD,8609,2609
