county,cases,population
Allegany,23763,67273
Anne Arundel,126787,594582
Baltimore,183243,844703
Baltimore City,159084,565239
Calvert,15748,94728
Caroline,7715,33593
Carroll,29750,176639
Cecil,21900,105672
Charles,40991,171973
Dorchester,10303,32879
Frederick,61557,293391
Garrett,8050,28423
Harford,53219,264644
Howard,69758,336001
Kent,4227,19303
Montgomery,260660,1058474
Prince Georges,243950,947430
Queen Annes,9303,52508
Somerset,6537,115281
St. Mary's,25778,24910
Talbot,7761,37823
Washington,42226,155813
Wicomico,26537,104800
Worcester,11462,54171
