area,outages,customers,percent_out,dt_stamp
Worcester,4074,58683,6.942,2024-04-24
Worcester,3973,58683,6.77,2024-04-24
Dorchester,937,19845,4.722,2024-04-18
Dorchester,937,19845,4.722,2024-04-18
Dorchester,937,19845,4.722,2024-04-18
St. Mary's,1602,56246,2.848,2024-04-12
Garrett,550,20422,2.693,2024-04-13
St. Mary's,1483,56246,2.637,2024-04-12
St. Mary's,1483,56246,2.637,2024-04-12
St. Mary's,1482,56246,2.635,2024-04-12
St. Mary's,1482,56246,2.635,2024-04-12
St. Mary's,1482,56246,2.635,2024-04-12
St. Mary's,1482,56246,2.635,2024-04-12
St. Mary's,1482,56246,2.635,2024-04-12
Garrett,514,20423,2.517,2024-04-25
Garrett,514,20423,2.517,2024-04-25
Garrett,498,20422,2.439,2024-04-13
Garrett,498,20422,2.439,2024-04-13
Garrett,498,20422,2.439,2024-04-13
Garrett,498,20422,2.439,2024-04-13
Wicomico,1208,49914,2.42,2024-04-24
Wicomico,1208,49914,2.42,2024-04-24
Calvert,963,41954,2.295,2024-05-02
Calvert,955,41954,2.276,2024-05-02
Calvert,955,41954,2.276,2024-05-02
Calvert,955,41954,2.276,2024-05-02
Calvert,955,41954,2.276,2024-05-02
Calvert,955,41954,2.276,2024-05-02
Calvert,955,41954,2.276,2024-05-02
Calvert,955,41954,2.276,2024-05-02
Frederick,2434,116752,2.085,2024-04-12
Frederick,2427,116752,2.079,2024-04-12
Frederick,2424,116752,2.076,2024-04-12
Frederick,2424,116752,2.076,2024-04-12
Frederick,2424,116752,2.076,2024-04-12
Frederick,2424,116752,2.076,2024-04-12
Frederick,2424,116752,2.076,2024-04-12
Frederick,2424,116752,2.076,2024-04-12
St. Mary's,1155,56246,2.053,2024-04-12
St. Mary's,1152,56246,2.048,2024-04-12
St. Mary's,1152,56246,2.048,2024-04-12
St. Mary's,1152,56246,2.048,2024-04-12
Washington,1099,53990,2.036,2024-04-30
Washington,1099,53990,2.036,2024-04-30
Allegany,756,37329,2.025,2024-04-14
Allegany,756,37329,2.025,2024-04-14
Allegany,755,37329,2.023,2024-04-14
Allegany,753,37329,2.017,2024-04-14
Allegany,752,37329,2.015,2024-04-14
Allegany,752,37329,2.015,2024-04-14
Allegany,752,37329,2.015,2024-04-14
Allegany,751,37329,2.012,2024-04-14
Cecil,1006,50023,2.011,2024-04-17
Cecil,1006,50023,2.011,2024-04-17
Cecil,1005,50023,2.009,2024-04-17
Cecil,1001,50023,2.001,2024-04-17
Cecil,1001,50023,2.001,2024-04-17
Cecil,1001,50023,2.001,2024-04-17
Cecil,1001,50023,2.001,2024-04-17
Cecil,978,50026,1.955,2024-04-12
Cecil,978,50026,1.955,2024-04-12
Cecil,964,50026,1.927,2024-04-12
Cecil,964,50026,1.927,2024-04-12
Dorchester,376,19852,1.894,2024-04-30
Dorchester,376,19851,1.894,2024-04-30
Dorchester,376,19851,1.894,2024-04-30
Dorchester,376,19851,1.894,2024-04-30
Dorchester,376,19851,1.894,2024-04-30
Dorchester,376,19851,1.894,2024-04-30
Dorchester,376,19851,1.894,2024-04-30
Dorchester,373,19852,1.879,2024-04-30
Dorchester,373,19852,1.879,2024-04-30
Dorchester,373,19852,1.879,2024-04-30
Dorchester,372,19853,1.874,2024-04-30
Dorchester,372,19851,1.874,2024-04-30
Dorchester,372,19851,1.874,2024-04-30
Dorchester,372,19851,1.874,2024-04-30
Dorchester,372,19851,1.874,2024-04-30
Dorchester,372,19852,1.874,2024-04-30
Dorchester,372,19852,1.874,2024-04-30
Dorchester,372,19852,1.874,2024-04-30
Dorchester,372,19852,1.874,2024-04-30
Dorchester,372,19852,1.874,2024-04-30
Dorchester,372,19851,1.874,2024-04-30
Dorchester,372,19851,1.874,2024-04-30
St. Mary's,1053,56246,1.872,2024-04-12
St. Mary's,1053,56246,1.872,2024-04-12
St. Mary's,1053,56246,1.872,2024-04-12
St. Mary's,1053,56246,1.872,2024-04-12
St. Mary's,1053,56246,1.872,2024-04-12
St. Mary's,1053,56246,1.872,2024-04-12
Garrett,378,20423,1.851,2024-04-25
St. Mary's,1032,56246,1.835,2024-04-12
St. Mary's,1032,56246,1.835,2024-04-12
St. Mary's,1032,56246,1.835,2024-04-12
St. Mary's,1032,56246,1.835,2024-04-12
St. Mary's,1028,56246,1.828,2024-04-12
St. Mary's,1028,56246,1.828,2024-04-12
Garrett,359,20422,1.758,2024-04-13
Dorchester,346,19846,1.743,2024-04-14
Garrett,337,20422,1.65,2024-04-13
Garrett,327,20423,1.601,2024-04-16
Garrett,326,20423,1.596,2024-04-16
Garrett,326,20423,1.596,2024-04-16
Garrett,326,20423,1.596,2024-04-16
Garrett,326,20423,1.596,2024-04-16
Garrett,326,20423,1.596,2024-04-16
Garrett,326,20423,1.596,2024-04-16
Garrett,326,20423,1.596,2024-04-16
Garrett,326,20423,1.596,2024-04-16
Garrett,326,20423,1.596,2024-04-16
Garrett,326,20423,1.596,2024-04-16
Garrett,326,20423,1.596,2024-04-16
Garrett,326,20423,1.596,2024-04-16
Allegany,588,37329,1.575,2024-04-14
Harford,1789,114903,1.557,2024-05-02
Harford,1789,114903,1.557,2024-05-02
Harford,1788,114903,1.556,2024-05-02
Allegany,578,37329,1.548,2024-04-14
Allegany,578,37329,1.548,2024-04-14
Allegany,578,37329,1.548,2024-04-14
Allegany,578,37329,1.548,2024-04-14
Harford,1739,114903,1.513,2024-05-02
Garrett,301,20422,1.474,2024-04-13
Queen Anne's,384,27481,1.397,2024-04-11
Queen Anne's,364,27481,1.325,2024-04-11
Queen Anne's,364,27481,1.325,2024-04-11
Queen Anne's,364,27481,1.325,2024-04-11
Cecil,644,50023,1.287,2024-04-17
Cecil,644,50023,1.287,2024-04-17
Cecil,644,50023,1.287,2024-04-17
Cecil,644,50023,1.287,2024-04-17
Garrett,257,20423,1.258,2024-04-25
Garrett,257,20423,1.258,2024-04-25
Garrett,257,20423,1.258,2024-04-25
Garrett,257,20423,1.258,2024-04-25
Garrett,257,20423,1.258,2024-04-25
Garrett,257,20423,1.258,2024-04-25
Garrett,257,20423,1.258,2024-04-25
Garrett,257,20423,1.258,2024-04-25
Garrett,256,20423,1.253,2024-04-25
Garrett,256,20423,1.253,2024-04-25
Garrett,256,20423,1.253,2024-04-25
Garrett,256,20423,1.253,2024-04-25
Garrett,256,20423,1.253,2024-04-25
Garrett,256,20423,1.253,2024-04-25
Garrett,255,20423,1.249,2024-04-25
Garrett,255,20423,1.249,2024-04-25
Garrett,255,20423,1.249,2024-04-25
Garrett,255,20423,1.249,2024-04-25
Allegany,454,37329,1.216,2024-04-20
Allegany,454,37329,1.216,2024-04-20
Allegany,454,37329,1.216,2024-04-20
Allegany,453,37329,1.214,2024-04-20
Allegany,453,37329,1.214,2024-04-20
Allegany,453,37329,1.214,2024-04-20
Allegany,453,37329,1.214,2024-04-20
Allegany,453,37329,1.214,2024-04-20
Allegany,453,37329,1.214,2024-04-20
Allegany,453,37329,1.214,2024-04-20
Allegany,453,37329,1.214,2024-04-20
Allegany,453,37329,1.214,2024-04-20
Allegany,449,37329,1.203,2024-04-20
Allegany,448,37329,1.2,2024-04-20
Queen Anne's,304,27436,1.108,2024-04-28
Queen Anne's,304,27436,1.108,2024-04-28
Queen Anne's,304,27436,1.108,2024-04-28
Queen Anne's,304,27436,1.108,2024-04-28
Queen Anne's,304,27436,1.108,2024-04-28
Queen Anne's,304,27436,1.108,2024-04-28
Queen Anne's,304,27436,1.108,2024-04-28
Queen Anne's,304,27436,1.108,2024-04-28
Queen Anne's,304,27436,1.108,2024-04-28
Queen Anne's,304,27436,1.108,2024-04-28
Queen Anne's,304,27436,1.108,2024-04-28
Queen Anne's,304,27436,1.108,2024-04-28
Queen Anne's,304,27436,1.108,2024-04-28
Queen Anne's,304,27436,1.108,2024-04-28
Queen Anne's,304,27436,1.108,2024-04-28
Cecil,532,50026,1.063,2024-04-12
Cecil,531,50026,1.061,2024-04-12
Washington,568,53991,1.052,2024-04-27
