Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,ANNE ARUNDEL,1587,1124
2020/08,ANNE ARUNDEL,1625,1138
2020/09,ANNE ARUNDEL,1658,1152
2020/10,ANNE ARUNDEL,1729,1161
2020/11,ANNE ARUNDEL,1783,1194
2020/12,ANNE ARUNDEL,1823,1215
2021/01,ANNE ARUNDEL,1880,1231
2021/02,ANNE ARUNDEL,1912,1250
2021/03,ANNE ARUNDEL,1995,1280
2021/04,ANNE ARUNDEL,2078,1309
2021/05,ANNE ARUNDEL,2141,1363
2021/06,ANNE ARUNDEL,2334,1409
2021/07,ANNE ARUNDEL,2395,1458
2021/08,ANNE ARUNDEL,2707,1541
2021/09,ANNE ARUNDEL,2767,1590
2021/10,ANNE ARUNDEL,2838,1711
2021/11,ANNE ARUNDEL,2949,1766
2021/12,ANNE ARUNDEL,3037,1797
2022/01,ANNE ARUNDEL,3125,1816
2022/02,ANNE ARUNDEL,2977,1842
2022/03,ANNE ARUNDEL,3135,1923
2022/04,ANNE ARUNDEL,3582,1979
2022/05,ANNE ARUNDEL,3677,2053
2022/06,ANNE ARUNDEL,3862,2109
2022/07,ANNE ARUNDEL,3923,2145
2022/08,ANNE ARUNDEL,4051,2187
2022/09,ANNE ARUNDEL,4178,2203
2022/10,ANNE ARUNDEL,4337,2249
2022/11,ANNE ARUNDEL,4577,2334
2022/12,ANNE ARUNDEL,4854,2366
2023/01,ANNE ARUNDEL,5206,2399
2023/02,ANNE ARUNDEL,5404,2455
2023/03,ANNE ARUNDEL,5610,2575
2023/04,ANNE ARUNDEL,5996,2732
2023/05,ANNE ARUNDEL,6270,2925
2023/06,ANNE ARUNDEL,6560,3168
2023/07,ANNE ARUNDEL,6751,3363
2023/08,ANNE ARUNDEL,6973,3537
2023/09,ANNE ARUNDEL,7143,3646
2023/10,ANNE ARUNDEL,7461,3895
2023/11,ANNE ARUNDEL,7632,3959
2023/12,ANNE ARUNDEL,7867,4149
2024/01,ANNE ARUNDEL,8005,4686
2024/02,ANNE ARUNDEL,8083,4807
2024/03,ANNE ARUNDEL,8183,4901
2024/04,ANNE ARUNDEL,8308,5084
